seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
1,16019.65,1,0,0,0,0,0
2,15970.67,1,0,0,0,0,0
3,15966.55,1,0,0,0,0,0
4,15997.88,1,0,0,0,0,0
5,15976.42,1,0,0,0,0,0
6,16006.66,1,0,0,0,0,0
7,15974.25,1,0,0,0,0,0
8,16116.41,1,0,0,0,0,0
9,15876.92,1,0,0,0,0,0
10,16516.07,1,0,0,0,0,0
11,15512.28,1,0,0,0,0,0
12,15962.21,1,0,0,0,0,0
13,15996.30,1,0,0,0,0,0
14,15981.92,1,0,0,0,0,0
15,16006.11,1,0,0,0,0,0
16,15984.97,1,0,0,0,0,0
17,16000.47,1,0,0,0,0,0
18,15998.62,1,0,0,0,0,0
19,15992.55,1,0,0,0,0,0
20,15998.08,1,0,0,0,0,0
21,16009.30,1,0,0,0,0,0
22,15982.37,1,0,0,0,0,0
23,15999.35,1,0,0,0,0,0
24,15998.47,1,0,0,0,0,0
25,15991.61,1,0,0,0,0,0
26,15999.61,1,0,0,0,0,0
27,15999.58,1,0,0,0,0,0
28,15999.97,1,0,0,0,0,0
29,15994.25,1,0,0,0,0,0
30,15995.31,1,0,0,0,0,0
31,16004.24,1,0,0,0,0,0
32,15996.59,1,0,0,0,0,0
33,15999.49,1,0,0,0,0,0
34,16002.65,1,0,0,0,0,0
35,15997.73,1,0,0,0,0,0
36,15998.87,1,0,0,0,0,0
37,15999.03,1,0,0,0,0,0
38,16000.03,1,0,0,0,0,0
39,16001.67,1,0,0,0,0,0
40,16000.25,1,0,0,0,0,0
41,16003.30,1,0,0,0,0,0
42,15994.25,1,0,0,0,0,0
43,15999.88,1,0,0,0,0,0
44,16003.47,1,0,0,0,0,0
45,15996.24,1,0,0,0,0,0
46,15999.23,1,0,0,0,0,0
47,16004.62,1,0,0,0,0,0
48,15996.07,1,0,0,0,0,0
49,15931.50,1,0,0,0,0,0
50,15995.92,1,0,0,0,0,0
51,16001.38,1,0,0,0,0,0
52,15990.58,1,0,0,0,0,0
53,16000.79,1,0,0,0,0,0
54,15999.13,1,0,0,0,0,0
55,15988.28,1,0,0,0,0,0
56,16002.42,1,0,0,0,0,0
57,15998.26,1,0,0,0,0,0
58,15989.35,1,0,0,0,0,0
59,16044.75,1,0,0,0,0,0
60,15972.08,1,0,0,0,0,0
61,15967.99,1,0,0,0,0,0
62,15997.59,1,0,0,0,0,0
63,16005.34,1,0,0,0,0,0
64,15987.64,1,0,0,0,0,0
65,16056.30,1,0,0,0,0,0
66,15972.22,1,0,0,0,0,0
67,15994.39,1,0,0,0,0,0
68,15973.27,1,0,0,0,0,0
69,15992.40,1,0,0,0,0,0
70,15996.05,1,0,0,0,0,0
71,16052.48,1,0,0,0,0,0
72,15972.74,1,0,0,0,0,0
73,15975.44,1,0,0,0,0,0
74,15988.32,1,0,0,0,0,0
75,16005.71,1,0,0,0,0,0
76,15979.42,1,0,0,0,0,0
