seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
1,15991.86,1,0,0,0,0,0
2,15958.96,1,0,0,0,0,0
3,16010.27,1,0,0,0,0,0
4,15988.00,1,0,0,0,0,0
5,15988.22,1,0,0,0,0,0
6,16007.59,1,0,0,0,0,0
7,15992.96,1,0,0,0,0,0
8,16150.85,1,0,0,0,0,0
9,15891.36,1,0,0,0,0,0
10,15941.21,1,0,0,0,0,0
11,16024.10,1,0,0,0,0,0
12,16138.07,1,0,0,0,0,0
13,15853.16,1,0,0,0,0,0
14,16004.35,1,0,0,0,0,0
15,15992.71,1,0,0,0,0,0
16,16035.60,1,0,0,0,0,0
17,15925.89,1,0,0,0,0,0
18,15997.72,1,0,0,0,0,0
19,16000.95,1,0,0,0,0,0
20,15996.01,1,0,0,0,0,0
