seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
1,15974.26,1,0,0,0,0,0
2,15978.54,1,0,0,0,0,0
3,16015.48,1,0,0,0,0,0
4,15975.32,1,0,0,0,0,0
5,16006.86,1,0,0,0,0,0
6,15985.70,1,0,0,0,0,0
7,16002.13,1,0,0,0,0,0
8,15987.97,1,0,0,0,0,0
9,16007.12,1,0,0,0,0,0
10,15994.15,1,0,0,0,0,0
11,15999.74,1,0,0,0,0,0
12,15992.67,1,0,0,0,0,0
13,15996.60,1,0,0,0,0,0
14,15991.49,1,0,0,0,0,0
15,16010.80,1,0,0,0,0,0
16,15999.56,1,0,0,0,0,0
17,16057.53,1,0,0,0,0,0
18,15904.83,1,0,0,0,0,0
19,15996.29,1,0,0,0,0,0
20,15995.00,1,0,0,0,0,0
21,15985.89,1,0,0,0,0,0
22,16050.21,1,0,0,0,0,0
23,15937.16,1,0,0,0,0,0
24,16030.34,1,0,0,0,0,0
25,15976.29,1,0,0,0,0,0
26,15987.97,1,0,0,0,0,0
27,15997.23,1,0,0,0,0,0
28,15994.26,1,0,0,0,0,0
29,16016.73,1,0,0,0,0,0
30,15995.24,1,0,0,0,0,0
31,15978.37,1,0,0,0,0,0
32,15998.10,1,0,0,0,0,0
33,15995.93,1,0,0,0,0,0
34,16012.22,1,0,0,0,0,0
35,16014.19,1,0,0,0,0,0
36,15986.75,1,0,0,0,0,0
37,15981.98,1,0,0,0,0,0
38,16011.04,1,0,0,0,0,0
39,15977.79,1,0,0,0,0,0
40,16099.45,1,0,0,0,0,0
41,15922.29,1,0,0,0,0,0
42,15993.80,1,0,0,0,0,0
43,15981.53,1,0,0,0,0,0
44,15960.96,1,0,0,0,0,0
45,16002.07,1,0,0,0,0,0
46,16002.38,1,0,0,0,0,0
47,15989.89,1,0,0,0,0,0
48,16012.65,1,0,0,0,0,0
49,16000.24,1,0,0,0,0,0
50,15989.75,1,0,0,0,0,0
51,15979.28,1,0,0,0,0,0
52,16001.97,1,0,0,0,0,0
53,15993.53,1,0,0,0,0,0
54,16021.33,1,0,0,0,0,0
55,15988.01,1,0,0,0,0,0
56,15982.15,1,0,0,0,0,0
57,15987.65,1,0,0,0,0,0
58,15999.13,1,0,0,0,0,0
59,16076.09,1,0,0,0,0,0
60,15965.76,1,0,0,0,0,0
61,15966.95,1,0,0,0,0,0
62,15966.13,1,0,0,0,0,0
63,16000.18,1,0,0,0,0,0
64,15997.59,1,0,0,0,0,0
65,15988.23,1,0,0,0,0,0
66,16006.25,1,0,0,0,0,0
67,16024.90,1,0,0,0,0,0
68,15961.58,1,0,0,0,0,0
69,15996.52,1,0,0,0,0,0
70,15996.07,1,0,0,0,0,0
71,15992.32,1,0,0,0,0,0
72,16072.02,1,0,0,0,0,0
73,15968.08,1,0,0,0,0,0
74,15957.94,1,0,0,0,0,0
75,15994.60,1,0,0,0,0,0
76,15997.07,1,0,0,0,0,0
77,15996.77,1,0,0,0,0,0
78,16067.61,1,0,0,0,0,0
79,15921.84,1,0,0,0,0,0
80,15997.08,1,0,0,0,0,0
81,16049.15,1,0,0,0,0,0
82,15940.84,1,0,0,0,0,0
83,15998.88,1,0,0,0,0,0
84,15989.95,1,0,0,0,0,0
85,16001.72,1,0,0,0,0,0
86,15992.84,1,0,0,0,0,0
87,16002.14,1,0,0,0,0,0
88,15998.22,1,0,0,0,0,0
89,15985.18,1,0,0,0,0,0
90,15998.41,1,0,0,0,0,0
91,15994.28,1,0,0,0,0,0
92,15999.26,1,0,0,0,0,0
93,16000.44,1,0,0,0,0,0
94,15999.64,1,0,0,0,0,0
95,15996.15,1,0,0,0,0,0
96,15999.94,1,0,0,0,0,0
97,16195.32,1,0,0,0,0,0
98,15823.09,1,0,0,0,0,0
99,15985.68,1,0,0,0,0,0
100,15982.12,1,0,0,0,0,0
101,16002.19,1,0,0,0,0,0
102,15986.83,1,0,0,0,0,0
103,16002.19,1,0,0,0,0,0
104,16004.79,1,0,0,0,0,0
105,15997.58,1,0,0,0,0,0
106,15998.22,1,0,0,0,0,0
107,16175.56,1,0,0,0,0,0
108,15863.58,1,0,0,0,0,0
109,16833.56,1,0,0,0,0,0
110,15107.26,1,0,0,0,0,0
111,15997.80,1,0,0,0,0,0
112,15979.29,1,0,0,0,0,0
113,15999.12,1,0,0,0,0,0
114,16011.92,1,0,0,0,0,0
115,16017.90,1,0,0,0,0,0
116,15974.74,1,0,0,0,0,0
117,15988.14,1,0,0,0,0,0
118,15990.55,1,0,0,0,0,0
119,15997.83,1,0,0,0,0,0
120,15991.09,1,0,0,0,0,0
121,16001.13,1,0,0,0,0,0
122,16034.27,1,0,0,0,0,0
123,15965.02,1,0,0,0,0,0
124,15985.93,1,0,0,0,0,0
125,16005.43,1,0,0,0,0,0
126,16003.27,1,0,0,0,0,0
127,15989.16,1,0,0,0,0,0
128,16034.64,1,0,0,0,0,0
129,15958.31,1,0,0,0,0,0
130,16002.55,1,0,0,0,0,0
131,15998.55,1,0,0,0,0,0
132,15995.14,1,0,0,0,0,0
133,15984.84,1,0,0,0,0,0
134,15994.16,1,0,0,0,0,0
135,16012.33,1,0,0,0,0,0
136,16029.86,1,0,0,0,0,0
137,16131.93,1,0,0,0,0,0
138,15852.50,1,0,0,0,0,0
139,16001.49,1,0,0,0,0,0
140,15987.81,1,0,0,0,0,0
141,15995.74,1,0,0,0,0,0
142,16005.29,1,0,0,0,0,0
143,15990.24,1,0,0,0,0,0
144,15996.93,1,0,0,0,0,0
145,15988.56,1,0,0,0,0,0
146,15998.52,1,0,0,0,0,0
147,15998.68,1,0,0,0,0,0
148,15999.45,1,0,0,0,0,0
149,15998.68,1,0,0,0,0,0
150,15994.33,1,0,0,0,0,0
151,15952.27,1,0,0,0,0,0
152,16032.12,1,0,0,0,0,0
153,21012.89,1,0,0,0,0,0
154,10990.02,1,0,0,0,0,0
155,15965.76,1,0,0,0,0,0
156,15990.07,1,0,0,0,0,0
157,15980.96,1,0,0,0,0,0
158,16009.12,1,0,0,0,0,0
159,15990.63,1,0,0,0,0,0
160,16009.65,1,0,0,0,0,0
161,15991.87,1,0,0,0,0,0
162,15998.94,1,0,0,0,0,0
163,15996.87,1,0,0,0,0,0
164,15992.84,1,0,0,0,0,0
165,16006.20,1,0,0,0,0,0
166,15986.45,1,0,0,0,0,0
167,15990.59,1,0,0,0,0,0
168,15977.47,1,0,0,0,0,0
169,16028.56,1,0,0,0,0,0
170,15963.29,1,0,0,0,0,0
171,16008.45,1,0,0,0,0,0
172,16024.15,1,0,0,0,0,0
173,15979.94,1,0,0,0,0,0
174,15998.30,1,0,0,0,0,0
175,15977.62,1,0,0,0,0,0
176,16000.59,1,0,0,0,0,0
177,16000.03,1,0,0,0,0,0
178,16018.71,1,0,0,0,0,0
179,15997.36,1,0,0,0,0,0
180,15979.35,1,0,0,0,0,0
181,15994.72,1,0,0,0,0,0
182,15993.82,1,0,0,0,0,0
183,15990.88,1,0,0,0,0,0
184,16005.35,1,0,0,0,0,0
185,15999.29,1,0,0,0,0,0
186,15998.71,1,0,0,0,0,0
187,15987.07,1,0,0,0,0,0
188,15983.82,1,0,0,0,0,0
189,15998.76,1,0,0,0,0,0
190,15996.33,1,0,0,0,0,0
191,16014.46,1,0,0,0,0,0
192,15987.64,1,0,0,0,0,0
193,15983.06,1,0,0,0,0,0
194,15999.15,1,0,0,0,0,0
195,15995.08,1,0,0,0,0,0
196,15999.16,1,0,0,0,0,0
197,16007.23,1,0,0,0,0,0
198,15992.74,1,0,0,0,0,0
199,15985.65,1,0,0,0,0,0
200,15994.58,1,0,0,0,0,0
