seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
1,10507.38,33333.33,7.86,14.42,10483.87,0,1
2,9074.19,33394.54,7.90,14.23,9051.09,0,1
3,23703.39,33330.55,2.49,8.19,23692.23,0,1
4,22393.12,33334.96,5.06,10.40,22376.96,0,1
5,21045.18,33331.98,3.53,10.30,21030.85,0,1
6,19713.59,33331.24,1.96,7.41,19703.81,0,1
7,18395.48,33335.62,8.21,12.39,18373.42,0,1
8,17033.81,33332.30,4.80,9.98,17018.38,0,1
9,15748.91,33332.61,2.06,7.98,15738.50,0,1
10,14364.58,33339.08,19.04,25.90,14316.28,0,1
11,13014.01,33328.98,4.17,10.78,12998.24,0,1
12,11675.90,33332.66,2.16,7.55,11665.77,0,1
13,10345.98,33335.29,7.78,12.39,10324.12,0,1
14,8994.43,33332.57,4.44,10.75,8978.60,0,1
15,23633.98,33332.19,2.21,8.29,23622.98,0,1
16,22321.15,33335.08,7.62,10.90,22300.58,0,1
17,20971.41,33331.83,6.51,12.46,20951.12,0,1
18,19640.52,33333.59,2.54,8.63,19628.86,0,1
19,18314.72,33333.07,4.44,7.64,18302.05,0,1
20,16964.14,33334.69,8.21,11.94,16942.23,0,1
21,15642.35,33331.79,4.38,9.95,15627.07,0,1
22,14275.67,33337.56,9.46,15.86,14248.55,0,1
23,12932.05,33330.61,3.02,7.28,12920.98,0,1
24,11604.79,33330.54,2.02,6.70,11595.68,0,1
25,10256.43,33336.62,7.03,11.31,10236.66,0,1
26,8922.12,33331.08,2.65,6.49,8912.51,0,1
27,23556.72,33332.04,1.76,6.32,23548.24,0,1
28,22231.09,33336.56,7.14,11.07,22211.39,0,1
29,20887.72,33331.88,5.57,10.41,20870.54,0,1
30,19554.47,33333.20,2.88,6.45,19544.70,0,1
31,18228.95,33336.07,8.11,12.24,18206.91,0,1
32,16887.70,33331.74,5.66,11.80,16869.29,0,1
33,15574.54,33331.96,3.31,7.51,15563.25,0,1
34,14209.42,33339.91,17.36,22.67,14165.09,0,1
35,12857.01,33328.65,10.38,15.71,12829.20,0,1
36,11519.02,33331.22,4.49,11.22,11502.42,0,1
37,10183.45,33333.82,3.56,9.23,10170.16,0,1
38,8838.98,33334.42,8.33,12.14,8816.86,0,1
39,23505.36,33331.26,3.24,7.66,23493.76,0,1
40,22158.58,33339.34,17.10,22.09,22116.21,0,1
41,20819.98,33331.07,15.16,18.46,20783.60,0,1
42,19472.99,33329.82,7.27,13.40,19451.00,0,1
43,18146.38,33340.45,12.54,17.24,18113.86,0,1
44,16807.42,33327.18,5.81,12.03,16788.56,0,1
45,15460.59,33332.61,5.42,13.72,15440.36,0,1
46,14121.85,33338.87,11.45,17.73,14090.02,0,1
47,12789.01,33330.86,8.87,13.57,12764.68,0,1
48,11434.90,33330.39,5.48,11.28,11417.01,0,1
49,10104.59,33339.40,11.91,15.13,10074.81,0,1
