seq,phase,cycle_duration_us,left_cmd_rad_s,right_cmd_rad_s,left_target_rpm,right_target_rpm,left_wheel_pos_rad,right_wheel_pos_rad,left_wheel_vel_rad_s,right_wheel_vel_rad_s,ok
1,warmup,15893.33,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
2,warmup,14454.60,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
3,warmup,13094.93,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
4,warmup,11748.36,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
5,warmup,10409.54,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
6,warmup,9063.42,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
7,warmup,23699.26,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
8,warmup,22373.13,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
9,warmup,21036.63,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
10,warmup,19727.37,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
11,active,18330.05,0.5000,0.0000,95,0,0.00000,-0.00000,0.0000,-0.0000,1
12,active,17039.47,0.5000,0.0000,95,0,0.00000,-0.00000,0.0000,-0.0000,1
13,active,15696.78,0.5000,0.0000,95,0,0.00151,-0.00000,0.0628,-0.0000,1
14,active,14362.09,0.5000,0.0000,95,0,0.01172,-0.00000,0.3508,-0.0000,1
15,active,13021.28,0.5000,0.0000,95,0,0.02532,-0.00000,0.4241,-0.0000,1
16,active,11669.34,0.5000,0.0000,95,0,0.04134,-0.00000,0.4765,-0.0000,1
17,active,10339.32,0.5000,0.0000,95,0,0.05818,-0.00000,0.4922,-0.0000,1
18,active,8981.27,0.5000,0.0000,95,0,0.07468,-0.00000,0.5184,-0.0000,1
19,active,23650.48,0.5000,0.0000,95,0,0.09117,-0.00000,0.4817,-0.0000,1
20,active,22276.03,0.5000,0.0000,95,0,0.10804,-0.00000,0.5027,-0.0000,1
21,active,20958.21,0.5000,0.0000,95,0,0.12519,-0.00000,0.5079,-0.0000,1
22,active,19629.13,0.5000,0.0000,95,0,0.14147,-0.00000,0.4712,-0.0000,1
23,active,18284.99,0.5000,0.0000,95,0,0.15787,-0.00000,0.4765,-0.0000,1
24,active,16966.60,0.5000,0.0000,95,0,0.17467,-0.00000,0.4922,-0.0000,1
25,active,15608.60,0.5000,0.0000,95,0,0.19104,-0.00000,0.5131,-0.0000,1
26,active,14283.26,0.5000,0.0000,95,0,0.20788,-0.00000,0.4869,-0.0000,1
27,active,12938.88,0.5000,0.0000,95,0,0.22346,-0.00000,0.4817,-0.0000,1
28,active,11645.45,0.5000,0.0000,95,0,0.24036,-0.00000,0.4922,-0.0000,1
29,active,10255.03,0.5000,0.0000,95,0,0.25774,-0.00000,0.5131,-0.0000,1
30,active,8907.25,0.5000,0.0000,95,0,0.27357,-0.00000,0.4817,-0.0000,1
31,active,23574.20,0.5000,0.0000,95,0,0.29013,-0.00000,0.4922,-0.0000,1
32,active,22219.51,0.5000,0.0000,95,0,0.30715,-0.00000,0.4974,-0.0000,1
33,active,20866.54,0.5000,0.0000,95,0,0.32446,-0.00000,0.5079,-0.0000,1
34,active,19554.38,0.5000,0.0000,95,0,0.34011,-0.00000,0.4817,-0.0000,1
35,active,18224.50,0.5000,0.0000,95,0,0.35676,-0.00000,0.4922,-0.0000,1
36,active,16861.37,0.5000,0.0000,95,0,0.37281,-0.00000,0.5027,-0.0000,1
37,active,15526.99,0.5000,0.0000,95,0,0.39012,-0.00000,0.5027,-0.0000,1
38,active,14179.79,0.5000,0.0000,95,0,0.40662,-0.00000,0.4765,-0.0000,1
39,active,12833.37,0.5000,0.0000,95,0,0.42339,-0.00000,0.4974,-0.0000,1
40,active,11500.87,0.5000,0.0000,95,0,0.43967,-0.00000,0.5079,-0.0000,1
41,active,10155.00,0.5000,0.0000,95,0,0.45672,-0.00000,0.4974,-0.0000,1
42,active,8815.58,0.5000,0.0000,95,0,0.47218,-0.00000,0.4765,-0.0000,1
43,active,23450.19,0.5000,0.0000,95,0,0.48911,-0.00000,0.4974,-0.0000,1
44,active,22129.12,0.5000,0.0000,95,0,0.50636,-0.00000,0.5079,-0.0000,1
45,active,20903.69,0.5000,0.0000,95,0,0.52226,-0.00000,0.4922,-0.0000,1
46,active,19502.56,0.5000,0.0000,95,0,0.53888,-0.00000,0.4922,-0.0000,1
47,active,18109.29,0.5000,0.0000,95,0,0.55568,-0.00000,0.4922,-0.0000,1
48,active,16773.93,0.5000,0.0000,95,0,0.57224,-0.00000,0.5184,-0.0000,1
49,active,15438.20,0.5000,0.0000,95,0,0.58886,-0.00000,0.4817,-0.0000,1
50,active,14091.19,0.5000,0.0000,95,0,0.60557,-0.00000,0.4922,-0.0000,1
51,active,12759.75,0.5000,0.0000,95,0,0.62147,-0.00000,0.4974,-0.0000,1
52,active,11435.87,0.5000,0.0000,95,0,0.63887,-0.00000,0.5079,-0.0000,1
53,active,10097.81,0.5000,0.0000,95,0,0.65537,-0.00000,0.4817,-0.0000,1
54,active,8754.32,0.5000,0.0000,95,0,0.67123,-0.00000,0.4922,-0.0000,1
55,active,23436.08,0.5000,0.0000,95,0,0.68817,-0.00000,0.5027,-0.0000,1
56,active,22084.13,0.5000,0.0000,95,0,0.70551,-0.00000,0.5079,-0.0000,1
57,active,20752.77,0.5000,0.0000,95,0,0.72197,-0.00000,0.4869,-0.0000,1
58,active,19432.65,0.5000,0.0000,95,0,0.73780,-0.00000,0.4922,-0.0000,1
59,active,18091.38,0.5000,0.0000,95,0,0.75505,-0.00000,0.5079,-0.0000,1
60,active,16757.82,0.5000,0.0000,95,0,0.77107,-0.00000,0.5027,-0.0000,1
61,active,15375.54,0.5000,0.0000,95,0,0.78760,-0.00000,0.4869,-0.0000,1
62,active,14010.68,0.5000,0.0000,95,0,0.80440,-0.00000,0.5027,-0.0000,1
63,active,12679.50,0.5000,0.0000,95,0,0.82074,-0.00000,0.5079,-0.0000,1
64,active,11341.09,0.5000,0.0000,95,0,0.83761,-0.00000,0.4765,-0.0000,1
65,active,9990.96,0.5000,0.0000,95,0,0.85417,-0.00000,0.4922,-0.0000,1
66,active,8658.63,0.5000,0.0000,95,0,0.87016,-0.00000,0.4922,-0.0000,1
67,active,23298.71,0.5000,0.0000,95,0,0.88756,-0.00000,0.5131,-0.0000,1
68,active,21987.64,0.5000,0.0000,95,0,0.90424,-0.00000,0.4765,-0.0000,1
69,active,20689.93,0.5000,0.0000,95,0,0.91989,-0.00000,0.4869,-0.0000,1
70,active,19325.43,0.5000,0.0000,95,0,0.93679,-0.00000,0.5027,-0.0000,1
71,cooldown,17957.70,0.0000,0.0000,0,0,0.95429,-0.00000,0.5079,-0.0000,1
72,cooldown,16631.72,0.0000,0.0000,0,0,0.96972,-0.00000,0.4765,-0.0000,1
73,cooldown,15282.99,0.0000,0.0000,0,0,0.98442,-0.00000,0.3927,-0.0000,1
74,cooldown,13950.52,0.0000,0.0000,0,0,0.98966,-0.00000,0.1466,-0.0000,1
75,cooldown,12609.72,0.0000,0.0000,0,0,0.98948,-0.00000,-0.0052,-0.0000,1
76,cooldown,8571.70,0.0000,0.0000,0,0,0.98948,-0.00000,0.0000,-0.0000,1
77,cooldown,9923.71,0.0000,0.0000,0,0,0.98948,-0.00000,0.0000,-0.0000,1
78,cooldown,8588.45,0.0000,0.0000,0,0,0.98948,-0.00000,0.0000,-0.0000,1
79,cooldown,23226.64,0.0000,0.0000,0,0,0.98948,-0.00000,0.0000,-0.0000,1
80,cooldown,21878.11,0.0000,0.0000,0,0,0.98948,-0.00000,0.0000,-0.0000,1
